id,crop_name,month,yield_amount,target,year
168,Corn,August,1131.48,1182.59,2024
169,Tomato (Greenhouse),February,840.13,928.45,2022
170,Barley,July,288.6,1235.79,2022
171,Barley,June,1024.74,1364.55,2022
172,Barley,July,139.42,1268.0,2022
173,Cucumber (Greenhouse),February,575.37,977.33,2022
174,Wheat,July,679.11,1321.1,2022
175,Cucumber (Greenhouse),March,117.99,1029.77,2022
176,Sugar Beet,September,546.0,780.54,2022
177,Oats,August,1122.15,1250.31,2022
178,Pumpkin,October,340.17,1191.56,2022
179,Wheat,July,214.24,1136.81,2022
180,Sugar Beet,September,1065.95,1139.19,2022
181,Pumpkin,October,885.96,625.05,2022
182,Corn,September,491.1,1397.56,2022
183,Apples,October,509.37,821.59,2023
184,Pumpkin,October,1057.24,1215.58,2023
185,Cucumber (Greenhouse),November,149.7,1009.2,2023
186,Cucumber (Greenhouse),February,666.62,655.07,2023
187,Rapeseed,July,818.43,836.3,2023
188,Rye,July,639.02,1145.19,2023
189,Wheat,August,672.79,1361.63,2023
190,Tomato (Greenhouse),March,264.93,1458.72,2023
191,Rye,August,364.86,857.65,2023
192,Rye,August,959.46,792.34,2023
193,Pumpkin,October,945.31,861.45,2023
194,Rapeseed,June,1041.28,1161.04,2023
195,Rye,August,900.88,1057.21,2023
196,Wheat,August,252.94,1425.89,2023
197,Carrots,August,151.27,1217.29,2024
198,Oats,August,1154.83,1111.4,2024
199,Corn,October,988.62,1099.91,2024
200,Sugar Beet,September,819.17,1186.4,2024
201,Rye,July,697.49,1417.42,2024
202,Rye,July,590.42,936.76,2024
203,Apples,October,476.36,1134.2,2024
204,Potato,August,655.86,759.61,2024
205,Cucumber (Greenhouse),March,139.63,1366.03,2024
206,Oats,July,132.0,888.95,2024
207,Corn,August,714.92,1456.43,2024
208,Apples,September,189.88,997.48,2024
209,Strawberries,May,348.85,650.49,2024
210,Barley,July,1124.81,1475.51,2024
211,Rye,August,122.77,1261.06,2022
212,Rapeseed,July,584.08,1248.89,2022
213,Rye,August,912.85,825.93,2022
214,Sugar Beet,October,574.41,1467.15,2022
215,Corn,August,535.07,1070.81,2022
216,Pumpkin,October,161.33,1253.95,2022
217,Cucumber (Greenhouse),December,861.44,1396.22,2022
218,Barley,July,898.45,706.77,2022
219,Cucumber (Greenhouse),March,464.57,840.34,2022
220,Tomato (Greenhouse),January,620.28,632.05,2022
221,Strawberries,June,211.9,1091.69,2022
222,Apples,September,425.81,1294.48,2022
223,Potato,August,1094.57,1340.81,2022
224,Apples,October,260.01,823.66,2022
225,Strawberries,May,824.78,1472.59,2023
226,Sugar Beet,October,218.11,1294.95,2023
227,Potato,August,507.77,957.46,2023
228,Rapeseed,July,845.07,1084.02,2023
229,Pumpkin,October,369.22,872.75,2023
230,Wheat,August,413.58,1224.45,2023
231,Potato,August,816.58,791.8,2023
232,Potato,September,292.3,765.24,2023
233,Carrots,August,397.87,1418.05,2023
234,Sugar Beet,October,952.47,1137.25,2023
235,Barley,July,764.03,752.34,2023
236,Apples,September,732.52,1462.36,2023
237,Cucumber (Greenhouse),February,119.24,709.57,2023
238,Barley,July,567.03,868.37,2023
239,Barley,June,276.44,729.12,2024
240,Apples,September,1196.2,1118.7,2024
241,Oats,July,1009.66,1480.42,2024
242,Barley,June,608.39,1410.91,2024
243,Sugar Beet,October,611.52,995.74,2024
244,Wheat,July,409.85,1193.37,2024
245,Rapeseed,June,426.02,712.75,2024
246,Cucumber (Greenhouse),November,740.23,1335.27,2024
247,Sugar Beet,October,262.92,1463.07,2024
248,Wheat,July,397.84,1118.15,2024
249,Potato,August,295.59,1050.65,2024
250,Rapeseed,July,784.29,794.73,2024
251,Rye,July,569.84,821.25,2024
252,Apples,October,746.73,1436.45,2024
253,Pumpkin,October,1168.87,1491.22,2022
254,Rapeseed,June,563.01,860.88,2022
255,Barley,July,574.28,1309.5,2022
256,Barley,June,232.77,707.86,2022
257,Corn,September,935.82,785.28,2022
258,Cucumber (Greenhouse),February,831.97,1165.16,2022
259,Oats,July,194.28,863.04,2022
260,Strawberries,June,738.62,1116.46,2022
261,Tomato (Greenhouse),December,203.17,1329.42,2022
262,Pumpkin,October,1056.15,1293.97,2022
263,Cucumber (Greenhouse),January,843.93,1057.18,2022
264,Cucumber (Greenhouse),November,324.1,1033.94,2022
265,Oats,August,771.33,1075.59,2022
266,Wheat,July,295.74,615.95,2022
267,Carrots,September,709.1,1215.82,2023
268,Pumpkin,October,1125.28,1149.21,2023
269,Rye,July,435.66,865.8,2023
270,Pumpkin,October,420.23,1214.53,2023
271,Rye,July,164.32,1320.11,2023
272,Rapeseed,July,594.36,963.9,2023
273,Rapeseed,June,524.38,965.37,2023
274,Oats,August,1126.68,1064.8,2023
275,Cucumber (Greenhouse),March,178.92,1324.23,2023
276,Wheat,July,570.0,1341.54,2023
277,Oats,August,788.91,1474.87,2023
278,Apples,September,993.76,907.36,2023
279,Potato,September,110.53,1067.86,2023
280,Rye,August,804.2,748.16,2023
281,Oats,August,1068.07,984.85,2024
282,Rapeseed,July,813.76,989.64,2024
283,Rye,July,1085.05,917.91,2024
284,Cucumber (Greenhouse),December,870.98,1448.39,2024
285,Corn,September,478.56,1416.97,2024
286,Strawberries,May,296.78,1305.0,2024
287,Tomato (Greenhouse),March,299.71,926.16,2024
288,Carrots,August,1036.4,632.39,2024
289,Barley,July,652.2,1386.91,2024
290,Rapeseed,June,106.23,1424.54,2024
291,Pumpkin,October,986.25,1344.45,2024
292,Carrots,September,1020.62,787.69,2024
293,Rapeseed,July,470.86,1012.25,2024
294,Wheat,August,333.39,1459.11,2024
295,Barley,June,781.61,783.06,2022
296,Corn,October,152.01,775.4,2022
297,Sugar Beet,September,1070.87,971.29,2022
298,Apples,October,191.58,980.03,2022
299,Oats,July,409.2,612.74,2022
300,Sugar Beet,October,899.09,1024.1,2022
301,Cucumber (Greenhouse),December,784.32,1305.52,2022
302,Strawberries,May,367.59,1221.11,2022
303,Tomato (Greenhouse),March,241.98,1431.15,2022
304,Rye,August,982.86,744.8,2022
305,Strawberries,May,151.25,1066.39,2022
306,Cucumber (Greenhouse),November,736.31,744.4,2022
307,Tomato (Greenhouse),December,1038.24,954.19,2022
308,Rapeseed,June,893.84,1404.61,2022
309,Tomato (Greenhouse),March,644.61,726.7,2023
310,Apples,September,1091.11,668.45,2023
311,Rye,August,1120.82,666.84,2023
312,Strawberries,May,293.77,1305.89,2023
313,Tomato (Greenhouse),January,131.04,1499.46,2023
314,Apples,September,262.76,888.56,2023
315,Cucumber (Greenhouse),March,940.07,1222.09,2023
316,Potato,September,1024.75,1394.34,2023
317,Sugar Beet,September,691.33,1467.5,2023
318,Carrots,September,1050.08,663.75,2023
319,Barley,July,842.05,774.35,2023
320,Sugar Beet,September,986.84,1444.63,2023
321,Carrots,August,323.71,728.87,2023
322,Apples,October,1084.11,1441.33,2023
323,Potato,August,195.58,784.05,2024
324,Wheat,August,945.17,1260.16,2024
325,Apples,September,434.5,869.69,2024
326,Apples,October,825.9,848.92,2024
327,Rapeseed,June,606.94,1174.76,2024
328,Sugar Beet,September,258.26,617.95,2024
329,Potato,August,140.2,1002.83,2024
330,Carrots,August,368.72,1493.96,2024
331,Rye,August,547.64,614.69,2024
332,Carrots,August,654.85,1421.41,2024
333,Carrots,September,428.61,711.71,2024
334,Cucumber (Greenhouse),February,333.72,1155.53,2024
335,Apples,October,281.57,1371.27,2024
336,Rye,July,1161.48,765.41,2024
337,Corn,August,156.26,1052.04,2022
338,Pumpkin,October,151.19,1333.13,2022
339,Strawberries,May,737.02,782.67,2022
340,Corn,August,277.09,680.88,2022
341,Potato,August,529.28,776.67,2022
342,Pumpkin,October,1198.82,693.52,2022
343,Pumpkin,October,296.22,766.6,2022
344,Rapeseed,June,333.56,619.5,2022
345,Wheat,July,122.84,778.57,2022
346,Corn,September,650.32,1211.39,2022
347,Potato,September,417.3,981.87,2022
348,Potato,September,927.1,815.47,2022
349,Strawberries,June,983.08,1148.43,2022
350,Tomato (Greenhouse),November,256.58,1057.68,2022
351,Pumpkin,October,373.13,654.24,2023
352,Strawberries,June,332.18,1074.37,2023
353,Oats,August,698.5,1130.43,2023
354,Pumpkin,October,323.33,1499.92,2023
355,Carrots,September,183.5,884.51,2023
356,Cucumber (Greenhouse),December,1019.25,1386.92,2023
357,Cucumber (Greenhouse),February,620.94,608.06,2023
358,Rapeseed,July,123.41,1425.58,2023
359,Corn,September,800.55,1159.29,2023
360,Pumpkin,October,491.78,669.9,2023
361,Cucumber (Greenhouse),January,673.09,839.99,2023
362,Sugar Beet,October,1095.63,997.55,2023
363,Sugar Beet,October,684.62,1307.21,2023
364,Oats,August,942.78,830.57,2023
365,Strawberries,June,684.67,1013.87,2024
366,Apples,October,930.19,1390.59,2024
367,Tomato (Greenhouse),December,829.73,1108.65,2024
368,Oats,July,114.01,1229.85,2024
369,Rapeseed,June,877.01,1185.82,2024
370,Rapeseed,July,149.35,1476.35,2024
371,Carrots,September,1021.75,982.23,2024
372,Carrots,August,943.03,1461.54,2024
373,Strawberries,May,541.41,723.43,2024
374,Cucumber (Greenhouse),March,748.9,1073.13,2024
375,Sugar Beet,September,320.48,703.94,2024
376,Tomato (Greenhouse),December,176.39,1201.5,2024
377,Pumpkin,October,412.17,879.39,2024
378,Oats,August,161.75,823.01,2024
379,Rye,August,973.23,1488.9,2022
380,Apples,October,1145.19,724.32,2022
381,Rapeseed,July,482.37,818.58,2022
382,Sugar Beet,September,952.18,944.69,2022
383,Sugar Beet,September,861.59,774.28,2022
384,Rye,July,495.14,1435.65,2022
385,Rye,August,600.68,855.12,2022
386,Potato,September,952.2,601.08,2022
387,Apples,October,521.31,895.89,2022
388,Wheat,August,349.95,756.3,2022
389,Pumpkin,October,794.88,799.5,2022
390,Wheat,August,1160.29,1079.5,2022
391,Wheat,August,1065.9,812.22,2022
392,Rye,August,1120.06,662.03,2022
393,Tomato (Greenhouse),February,879.32,729.9,2023
394,Carrots,September,567.98,772.51,2023
395,Tomato (Greenhouse),February,153.41,800.21,2023
396,Oats,July,637.13,1367.26,2023
397,Pumpkin,October,570.35,758.91,2023
398,Potato,August,994.16,859.39,2023
399,Potato,September,351.85,1100.92,2023
400,Rapeseed,July,688.26,743.63,2023
401,Potato,August,780.55,742.93,2023
402,Sugar Beet,October,1102.35,807.69,2023
403,Sugar Beet,September,882.33,824.61,2023
404,Rapeseed,July,712.39,1224.49,2023
405,Sugar Beet,October,486.54,762.51,2023
406,Sugar Beet,October,492.86,1461.97,2023
407,Carrots,August,655.76,1112.01,2024
408,Oats,August,654.81,1434.36,2024
409,Cucumber (Greenhouse),February,814.69,1485.2,2024
410,Tomato (Greenhouse),January,454.3,904.32,2024
411,Wheat,August,849.86,1117.69,2024
412,Cucumber (Greenhouse),December,351.43,665.57,2024
413,Carrots,August,201.76,927.47,2024
414,Wheat,July,410.02,977.1,2024
415,Barley,July,738.35,1067.25,2024
416,Strawberries,June,260.95,1128.88,2024
417,Rye,July,243.89,873.43,2024
418,Corn,August,603.61,784.94,2024
419,Tomato (Greenhouse),January,644.03,775.65,2024
420,Carrots,September,151.1,1036.21,2024
421,Carrots,August,207.73,1212.41,2022
422,Tomato (Greenhouse),December,699.27,646.83,2022
423,Rye,August,1047.89,657.46,2022
424,Cucumber (Greenhouse),March,1186.56,883.64,2022
425,Oats,August,259.87,732.27,2022
426,Rye,August,103.77,619.8,2022
427,Oats,August,934.76,1359.1,2022
428,Corn,September,828.92,668.25,2022
429,Barley,June,1167.29,654.78,2022
430,Wheat,July,819.99,807.41,2022
431,Rapeseed,July,136.18,650.72,2022
432,Oats,August,511.74,782.09,2022
433,Rapeseed,July,980.6,701.6,2022
434,Corn,September,830.95,1365.41,2022
435,Carrots,August,108.5,1451.21,2023
436,Rye,August,173.05,996.34,2023
437,Cucumber (Greenhouse),March,734.53,1316.5,2023
438,Potato,September,397.36,1452.57,2023
439,Potato,September,735.13,1349.79,2023
440,Strawberries,June,716.75,681.58,2023
441,Cucumber (Greenhouse),January,1159.65,1299.27,2023
442,Tomato (Greenhouse),November,760.59,1110.35,2023
443,Rapeseed,July,766.45,1221.97,2023
444,Potato,September,758.34,1021.18,2023
445,Tomato (Greenhouse),January,824.89,1428.76,2023
446,Sugar Beet,September,271.6,706.64,2023
447,Corn,October,808.14,1445.85,2023
448,Apples,September,215.54,736.22,2023
449,Wheat,August,1167.09,1020.38,2024
450,Apples,October,323.14,1246.6,2024
451,Carrots,September,951.44,1222.18,2024
452,Potato,September,389.11,855.07,2024
453,Rye,August,975.84,1204.8,2024
454,Rye,August,183.5,662.31,2024
455,Cucumber (Greenhouse),March,1094.87,1303.72,2024
456,Wheat,July,1083.05,1004.9,2024
457,Cucumber (Greenhouse),February,895.75,1079.27,2024
458,Oats,July,806.41,751.94,2024
459,Sugar Beet,October,347.25,663.74,2024
460,Apples,October,499.77,1218.83,2024
461,Sugar Beet,October,424.52,1125.23,2024
462,Sugar Beet,September,1137.98,719.93,2024
463,Oats,July,964.14,1115.9,2022
464,Wheat,August,1015.5,1478.13,2022
465,Carrots,September,731.7,1184.88,2022
466,Corn,October,522.58,1441.77,2022
467,Tomato (Greenhouse),March,1126.21,1284.86,2022
468,Strawberries,June,277.98,1208.49,2022
469,Barley,July,399.33,1292.69,2022
470,Barley,July,594.43,1412.93,2022
471,Wheat,July,512.32,1182.1,2022
472,Cucumber (Greenhouse),November,690.42,1143.53,2022
473,Cucumber (Greenhouse),November,938.95,1052.67,2022
474,Pumpkin,October,133.75,789.12,2022
475,Wheat,July,180.92,1322.43,2022
476,Rye,August,101.6,1483.66,2022
477,Apples,September,1018.69,1410.97,2023
478,Tomato (Greenhouse),February,336.33,1460.1,2023
479,Potato,August,898.08,1026.47,2023
480,Pumpkin,October,778.42,920.81,2023
481,Wheat,August,910.94,957.94,2023
482,Tomato (Greenhouse),March,996.02,844.42,2023
483,Cucumber (Greenhouse),January,222.15,1197.21,2023
484,Oats,July,718.5,915.58,2023
485,Barley,July,282.43,1200.14,2023
486,Apples,September,316.54,1024.01,2023
487,Oats,July,118.08,783.97,2023
488,Pumpkin,October,1007.35,1249.88,2023
489,Corn,October,716.26,965.91,2023
490,Tomato (Greenhouse),January,231.36,1486.04,2023
491,Pumpkin,October,1114.46,665.78,2024
492,Strawberries,June,777.07,1369.98,2024
493,Potato,September,235.31,1462.57,2024
494,Cucumber (Greenhouse),March,248.31,1072.92,2024
495,Rapeseed,July,804.85,1092.41,2024
496,Rapeseed,July,347.15,1023.35,2024
497,Cucumber (Greenhouse),February,344.62,1291.39,2024
498,Carrots,September,476.08,1308.35,2024
499,Sugar Beet,October,337.15,1343.39,2024
500,Cucumber (Greenhouse),March,752.04,1151.1,2024
501,Rye,July,1009.7,1219.03,2024
502,Sugar Beet,September,1143.86,1048.87,2024
503,Rye,August,193.8,715.09,2024
504,Tomato (Greenhouse),March,943.34,1417.56,2024
505,Rye,July,125.82,1188.4,2022
506,Cucumber (Greenhouse),November,100.67,713.22,2022
507,Cucumber (Greenhouse),March,1122.57,815.38,2022
508,Wheat,August,652.42,808.98,2022
509,Oats,August,223.99,745.33,2022
510,Potato,August,211.46,956.49,2022
511,Apples,September,664.13,1303.21,2022
512,Corn,August,770.42,738.72,2022
513,Sugar Beet,September,802.5,841.89,2022
514,Carrots,September,225.56,1203.34,2022
515,Potato,September,496.45,987.03,2022
516,Potato,August,1143.6,1095.33,2022
517,Apples,September,978.87,982.51,2022
518,Oats,August,950.99,1481.97,2022
519,Carrots,September,1039.26,744.94,2023
520,Rye,August,792.42,659.86,2023
521,Tomato (Greenhouse),January,222.38,678.32,2023
522,Carrots,August,385.86,755.28,2023
523,Strawberries,May,305.6,1206.9,2023
524,Wheat,July,739.84,1244.67,2023
525,Rye,August,279.42,1073.93,2023
526,Corn,August,897.81,1048.26,2023
527,Oats,August,500.21,915.48,2023
528,Wheat,August,754.1,660.34,2023
529,Tomato (Greenhouse),February,120.95,1217.37,2023
530,Rye,August,369.95,1353.23,2023
531,Pumpkin,October,410.29,1136.47,2023
532,Potato,September,1184.87,760.77,2023
533,Carrots,September,809.97,744.23,2024
534,Sugar Beet,September,923.05,1261.26,2024
535,Strawberries,May,1123.71,1179.66,2024
536,Tomato (Greenhouse),December,1166.84,997.46,2024
537,Oats,August,740.79,1117.15,2024
538,Potato,August,288.77,1259.99,2024
539,Barley,June,955.34,1160.16,2024
540,Oats,August,245.73,1471.63,2024
541,Rye,August,178.12,741.71,2024
542,Potato,August,342.47,704.35,2024
543,Wheat,August,989.25,733.46,2024
544,Corn,October,1058.54,762.36,2024
545,Rapeseed,July,370.75,904.91,2024
546,Pumpkin,October,1145.09,1438.34,2024
547,Barley,June,224.31,1258.11,2022
548,Tomato (Greenhouse),January,936.78,788.81,2022
549,Rapeseed,June,740.78,620.42,2022
550,Carrots,August,1134.11,805.67,2022
551,Sugar Beet,September,339.77,1381.6,2022
552,Corn,August,714.37,1006.75,2022
553,Apples,October,537.48,1248.79,2022
554,Apples,October,990.39,931.08,2022
555,Apples,October,1124.82,1005.74,2022
556,Pumpkin,October,440.75,1317.7,2022
557,Carrots,August,389.89,1490.62,2022
558,Barley,July,490.54,1037.19,2022
559,Cucumber (Greenhouse),January,243.19,866.24,2022
560,Barley,June,1121.67,1196.59,2022
561,Corn,August,1174.77,612.53,2023
562,Barley,June,1155.22,1306.85,2023
563,Wheat,August,574.96,1367.76,2023
564,Carrots,August,896.58,699.88,2023
565,Cucumber (Greenhouse),December,1123.21,1040.59,2023
566,Corn,September,138.39,850.02,2023
567,Sugar Beet,September,421.69,1342.21,2023
568,Strawberries,June,282.96,1096.04,2023
569,Sugar Beet,October,1052.92,1000.3,2023
570,Strawberries,May,701.36,962.52,2023
571,Oats,July,557.22,978.85,2023
572,Oats,July,1170.78,952.74,2023
573,Wheat,August,367.56,1083.1,2023
574,Tomato (Greenhouse),November,433.31,969.27,2023
575,Wheat,July,268.32,1025.72,2024
576,Sugar Beet,September,867.82,1214.87,2024
577,Rapeseed,June,118.35,1399.17,2024
578,Carrots,September,483.53,1471.65,2024
579,Tomato (Greenhouse),December,555.44,871.25,2024
580,Apples,October,705.12,896.22,2024
581,Potato,September,599.74,837.99,2024
582,Sugar Beet,September,183.73,688.16,2024
583,Sugar Beet,October,869.02,997.64,2024
584,Wheat,August,1135.93,1199.85,2024
585,Barley,July,1090.68,1080.35,2024
586,Oats,August,227.5,1328.46,2024
587,Cucumber (Greenhouse),December,456.52,907.45,2024
588,Wheat,July,840.25,749.11,2024
589,Sugar Beet,September,774.52,701.66,2022
590,Apples,October,540.22,664.29,2022
591,Potato,August,301.55,1041.76,2022
592,Corn,October,914.8,715.29,2022
593,Pumpkin,October,576.85,1356.88,2022
594,Sugar Beet,September,351.11,1430.54,2022
595,Potato,August,567.37,668.07,2022
596,Wheat,July,1171.5,665.53,2022
597,Corn,September,1176.54,749.39,2022
598,Oats,August,852.4,1227.78,2022
599,Corn,August,287.57,781.21,2022
600,Barley,June,261.48,1257.4,2022
601,Potato,August,1155.77,806.44,2022
602,Sugar Beet,October,767.59,866.31,2022
603,Strawberries,May,1027.14,1315.64,2023
604,Rapeseed,June,614.19,988.64,2023
605,Apples,September,159.93,1356.35,2023
606,Sugar Beet,October,643.3,830.84,2023
607,Carrots,September,477.71,1204.73,2023
608,Cucumber (Greenhouse),November,274.77,1342.61,2023
609,Apples,September,643.42,1258.56,2023
610,Sugar Beet,September,872.36,832.44,2023
611,Corn,September,1186.52,1424.5,2023
612,Cucumber (Greenhouse),January,908.22,1337.72,2023
613,Pumpkin,October,378.51,1098.18,2023
614,Corn,September,166.06,1079.44,2023
615,Corn,August,969.08,930.38,2023
616,Sugar Beet,October,898.17,1381.26,2023
617,Cucumber (Greenhouse),February,938.3,764.68,2024
618,Carrots,September,683.23,1348.41,2024
619,Sugar Beet,October,1148.53,1145.3,2024
620,Apples,October,1021.08,846.43,2024
621,Sugar Beet,September,418.84,1118.76,2024
622,Apples,October,453.88,873.96,2024
623,Carrots,August,777.56,606.85,2024
624,Corn,September,817.42,625.75,2024
625,Pumpkin,October,1081.37,1213.02,2024
626,Strawberries,June,857.18,1083.59,2024
